,JobCode,deptcount,srhrs,midhrs,jrhrs,totalhrs,officecount,ptodays,pjduration,additionalassignments,teamsize,projtags,overbudget
637,B6756,6,50.5,708.5,468.5,1227.5,1,496,268,658,31,9,0
1697,A6661,3,8.5,369.75,849.5,1227.75,2,93,151,289,15,6,0
1178,B6252,10,536,644,51,1231,3,103,85,134,24,0,1
312,10803785,7,724.75,295,213.25,1233,2,166,122,226,24,16,1
1471,10645511,6,662,303.5,277.5,1243,2,55,72,192,16,12,1
1564,G8100,11,366.5,446.25,431.75,1244.5,2,212,200,647,28,0,1
1340,A6152,10,422,283.5,539.5,1245,2,80,67,230,27,0,1
708,10854610,1,221,877,147.75,1245.75,1,156,124,273,20,5,1
1848,10805237,6,191.25,761.25,294,1246.5,3,125,79,459,31,10,1
331,B6377,10,594,552,102,1248,4,146,88,392,44,0,1
1778,K7480,6,191,714,346,1251,3,129,151,391,19,8,1
249,J6599,9,195.5,398,658.25,1251.75,2,313,292,943,25,6,0
443,M5183,6,209,1021.75,23.25,1254,2,262,334,618,19,4,0
417,10816758,8,82.75,825.5,346,1254.25,3,253,105,520,38,15,0
1695,10804069,9,413.75,629.75,211,1254.5,1,35,106,258,24,4,1
831,10803536,7,171.5,689.75,393.5,1254.75,1,371,244,635,30,6,0
965,10834941,7,302.5,958,0,1260.5,1,91,70,73,15,5,1
