,JobCode,deptcount,srhrs,midhrs,jrhrs,Psrhrs,Pmidhrs,PjrHrs,officecount,ptodays,pjduration,additionalassignments,teamsize,projtags,overbudget
318,10829455,7,96.5,103.5,46.0,0.39227642276422764,0.42073170731707316,0.18699186991869918,2,37,81,118,11,4,1
319,10830549,2,0.0,24.0,18.0,0.0,0.5714285714285714,0.42857142857142855,2,4,46,11,3,4,1
320,10831421,5,184.5,595.75,2.0,0.23585810162991372,0.7615851709811441,0.002556727388942154,3,98,77,210,14,7,1
321,10831454,5,150.0,63.25,311.75,0.2857142857142857,0.12047619047619047,0.5938095238095238,2,59,127,432,17,5,1
322,10832048,2,0.0,8.0,0.0,0.0,1.0,0.0,1,0,14,5,2,4,0
323,10832049,6,190.0,606.5,145.5,0.20169851380042464,0.6438428874734607,0.15445859872611464,1,34,43,79,15,7,0
324,10832116,6,2.0,36.5,25.0,0.031496062992125984,0.5748031496062992,0.3937007874015748,2,35,115,89,10,10,0
325,10832247,3,26.5,82.5,0.0,0.24311926605504589,0.7568807339449541,0.0,1,28,130,147,7,4,1
326,10832818,2,96.0,31.0,0.0,0.7559055118110236,0.2440944881889764,0.0,2,2,37,64,5,6,0
327,10832944,3,0.0,23.0,33.0,0.0,0.4107142857142857,0.5892857142857143,2,1,30,16,5,4,0
328,10833318,2,1.0,1.0,8.75,0.09302325581395349,0.09302325581395349,0.813953488372093,1,6,29,72,5,5,0
329,10834006,4,4.0,185.0,112.5,0.013266998341625208,0.6135986733001658,0.373134328358209,1,202,252,277,14,4,1
330,10834241,3,0.0,55.0,26.0,0.0,0.6790123456790124,0.32098765432098764,1,18,43,22,4,4,1
331,10836945,1,0.0,47.0,33.0,0.0,0.5875,0.4125,1,18,81,114,9,8,1
332,10837537,3,0.0,0.0,32.0,0.0,0.0,1.0,1,7,178,49,5,4,1
333,10836179,2,12.0,2.0,0.0,0.8571428571428571,0.14285714285714285,0.0,1,2,46,29,2,6,1
334,10835702,3,69.0,32.0,0.0,0.6831683168316832,0.31683168316831684,0.0,2,2,20,9,5,7,1
